1120030000,2014,2,SD3,0.
1613009003,2014,2,ND3,0.
1613009003,2015,2,ND3,6.99952
1613009003,2016,2,ND3,0.
1613016000,2014,2,SD2,0.
1613016100,2014,2,SD2,0.
1613085000,2014,2,SD1,0.
1613085000,2015,2,SD1,5.33984
1613094000,2014,2,SD3,0.
1613119100,2014,2,SD1,0.
1613128001,2014,2,SD2,0.
1613128001,2015,2,SD2,21.3233
1613128001,2016,2,SD2,0.
1613171500,2014,2,SD1,0.
1613171500,2015,2,SD1,19.9162
1613171500,2016,2,SD1,0.
1613172500,2014,2,SD1,0.
1613172500,2015,2,SD1,8.19016
1613172500,2016,2,SD1,0.
1631006000,2014,2,SD2,0.
1631026000,2014,2,SD1,0.
1631027000,2014,2,SD2,0.
1631072001,2014,2,SD1,0.
1631072001,2015,2,SD1,7.61288
1631072001,2016,2,SD1,0.
1631109000,2014,2,SD1,0.
1631109000,2015,2,SD1,9.95808
1631109000,2016,2,SD1,0.
1635048000,2014,2,SD2,0.
1635048000,2016,2,SD2,0.
1635058000,2014,2,SD2,0.
1635084000,2014,2,SD1,0.
1635084000,2016,2,SD1,0.
1635085000,2014,2,SD1,0.
1635085000,2016,2,SD1,0.
1640080000,2014,2,SD2,0.
1642006000,2014,2,ND2,0.
1642006000,2015,2,ND2,5.37592
1642007000,2014,2,SD1,0.
1642007000,2015,2,SD1,11.1848
1642082000,2014,2,SD2,0.
1644022000,2014,2,SD3,0.
1644058000,2014,2,ND1,0.
3120012000,2014,2,LGP,0.
3601039501,2014,2,SD3,0.
3602020000,2014,2,SD3,0.
3602070000,2014,2,SD1,0.
3604060000,2014,2,SD2,0.
3604060000,2015,2,SD2,37.6675
3604060000,2016,2,SD2,0.
3605036500,2016,2,SD1,0.
3605041000,2016,2,SD2,0.
3605042000,2016,2,SD1,0.
3605056600,2014,2,SD1,0.
3605056600,2015,2,SD1,17.0298
3610058000,2014,2,SD2,0.
3610133001,2014,2,SD3,0.
3610135001,2014,2,SD1,0.
3611121604,2014,2,SD1,0.
